,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
113,1,3,66.75327707,"[-56.0, 0.0]",-1,"[-122, 10]",0.834819096,1,1,1,44,24.16609195,64,"[-100.0, 0.0]",30,,
114,1,3,57.87054518,"[-68.0, 0.0]",-5,"[-123, 18]",0.934208016,1,1,1,32,29.20616373,64,"[-100.0, 0.0]",29,,
115,1,3,44.59820624,"[-132.0, 100.0]",0,"[-90, 115]",0.851174254,1,1,1,-32,18.02775638,64,"[-100.0, 100.0]",28,,
116,1,3,51.35172831,"[-68.0, 0.0]",0,"[-119, -6]",0.935246362,1,1,1,32,19.92485885,64,"[-100.0, 0.0]",27,,
117,1,3,50.15974482,"[-68.0, -100.0]",-1,"[-118, -104]",0.884683159,1,1,1,32,18.43908891,64,"[-100.0, -100.0]",26,,
118,1,3,42.42640687,"[-132.0, 100.0]",-1,"[-90, 106]",0.950541842,1,1,1,-32,11.66190379,64,"[-100.0, 100.0]",25,,
119,1,3,54.14794548,"[44.0, 0.0]",0,"[-10, 4]",0.951488251,1,1,1,44,10.77032961,64,"[0.0, 0.0]",24,,
120,1,3,49.49747468,"[44.0, 100.0]",-5,"[-5, 107]",0.851522472,1,1,1,44,8.602325267,64,"[0.0, 100.0]",23,,
121,1,3,57.42821606,"[68.0, 100.0]",0,"[125, 107]",0.884244806,1,1,1,-32,25.96150997,64,"[100.0, 100.0]",22,,
122,1,3,41.30375286,"[-144.0, -100.0]",-5,"[-103, -105]",0.934382276,1,1,1,-44,5.830951895,64,"[-100.0, -100.0]",21,,
123,1,3,61.68468205,"[44.0, -100.0]",0,"[-15, -82]",0.800847202,1,1,1,44,23.43074903,64,"[0.0, -100.0]",20,,
124,1,3,51.86520992,"[-32.0, 100.0]",-1,"[17, 83]",0.851063389,1,1,1,-32,24.04163056,64,"[0.0, 100.0]",19,,
125,1,3,51.26402247,"[-68.0, 100.0]",-5,"[-116, 82]",0.884592123,1,1,1,32,24.08318916,64,"[-100.0, 100.0]",18,,
126,1,3,49.16299421,"[56.0, 100.0]",-1,"[105, 96]",0.750902319,1,1,1,-44,6.403124237,64,"[100.0, 100.0]",17,,
127,-2,3,58.5918083,"[-68.0, 100.0]",0,"[-120, 73]",0.834874378,4,1,0,32,33.60059523,64,"[-100.0, 100.0]",16,,
128,1,3,45.89117562,"[132.0, -100.0]",-1,"[87, -91]",0.968282964,1,1,1,32,15.8113883,64,"[100.0, -100.0]",15,,
