,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
46,,1,,"[-132.0, 100.0]",0.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, 100.0]",25
47,,1,,"[144.0, 100.0]",-1.0,,,5,1.0,-7.0,44.0,,64.0,"[100.0, 100.0]",24
48,1.0,1,60.0749531835,"[-144.0, -100.0]",0.0,"[-84, -103]",0.750945349682,1,1.0,1.0,-44.0,16.2788205961,64.0,"[-100.0, -100.0]",23
49,,1,,"[-144.0, -100.0]",-5.0,,,5,1.0,-7.0,-44.0,,64.0,"[-100.0, -100.0]",22
50,,1,,"[-132.0, -100.0]",-1.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, -100.0]",21
51,1.0,1,47.1699056603,"[-132.0, 100.0]",-5.0,"[-85, 96]",0.81718141881,1,1.0,1.0,-32.0,15.5241746963,64.0,"[-100.0, 100.0]",20
52,1.0,1,42.0475920833,"[132.0, -100.0]",0.0,"[94, -82]",0.834034271142,1,1.0,1.0,32.0,18.973665961,64.0,"[100.0, -100.0]",19
53,1.0,1,55.542776308,"[-132.0, -100.0]",0.0,"[-78, -87]",0.767759745078,1,1.0,1.0,-32.0,25.5538646784,64.0,"[-100.0, -100.0]",18
54,1.0,1,59.4810894319,"[-56.0, 0.0]",0.0,"[-113, 17]",0.801731944317,1,1.0,1.0,44.0,21.400934559,64.0,"[-100.0, 0.0]",17
55,,1,,"[44.0, 0.0]",-5.0,,,5,1.0,-7.0,44.0,,64.0,"[0.0, 0.0]",16
56,1.0,1,46.8401537145,"[-68.0, -100.0]",-1.0,"[-113, -87]",0.734323839875,1,1.0,1.0,32.0,18.3847763109,64.0,"[-100.0, -100.0]",15
57,1.0,1,56.2938717802,"[-44.0, 100.0]",-1.0,"[11, 112]",0.784563324458,1,1.0,1.0,-44.0,16.2788205961,64.0,"[0.0, 100.0]",14
58,1.0,1,50.0899191455,"[32.0, 100.0]",-5.0,"[-13, 78]",0.801487983106,1,1.0,1.0,32.0,25.5538646784,64.0,"[0.0, 100.0]",13
59,1.0,1,54.4518135602,"[144.0, -100.0]",-1.0,"[90, -107]",0.734447322706,1,1.0,1.0,44.0,12.2065556157,64.0,"[100.0, -100.0]",12
60,1.0,1,50.1597448159,"[132.0, 100.0]",0.0,"[82, 104]",0.784158625258,1,1.0,1.0,32.0,18.4390889146,64.0,"[100.0, 100.0]",11
61,1.0,1,54.1294744109,"[-132.0, 100.0]",-1.0,"[-79, 111]",0.7671588554,1,1.0,1.0,-32.0,23.7065391823,64.0,"[-100.0, 100.0]",10
